issueType,knowlegebaseId
CVE-2002-0072,3326
CVE-2002-0073,3328
CVE-2002-0074,3338
CVE-2002-0075,3341
CVE-2002-0078,3029
CVE-2002-0083,730
CVE-2002-0115,2022
CVE-2002-0117,2019
CVE-2002-0147,3301
CVE-2002-0148,3339
CVE-2002-0149,3320
CVE-2002-0150,3316
CVE-2002-0152,5357
CVE-2002-0153,5356
CVE-2002-0159,2062
CVE-2002-0160,5352
CVE-2002-0166,2059
CVE-2002-0169,5349
CVE-2002-0170,5350
CVE-2002-0171,5351
CVE-2002-0172,4695
CVE-2002-0173,5359
CVE-2002-0178,8274
CVE-2002-0181,5345
CVE-2002-0186,5347
CVE-2002-0226,2038
CVE-2002-0226,3866
CVE-2002-0330,5658
CVE-2002-0339,806
CVE-2002-0357,834
CVE-2002-0375,3458
CVE-2002-0381,5308
CVE-2002-0384,3729
CVE-2002-0392,838
CVE-2002-0412,5307
CVE-2002-0414,5304
CVE-2002-0422,13431
CVE-2002-0425,5301
CVE-2002-0445,7170
CVE-2002-0462,5287
CVE-2002-0462,5288
CVE-2002-0473,4268
CVE-2002-0501,3516
CVE-2002-0518,6046
CVE-2002-0532,5270
CVE-2002-0536,5153
CVE-2002-0539,5239
CVE-2002-0542,5269
CVE-2002-0563,705
CVE-2002-0563,13152
CVE-2002-0571,5236
CVE-2002-0572,6095
CVE-2002-0573,778
CVE-2002-0574,5232
CVE-2002-0575,781
CVE-2002-0576,3337
CVE-2002-0596,10447
CVE-2002-0597,5179
CVE-2002-0599,5178
CVE-2002-0601,5165
CVE-2002-0605,5177
CVE-2002-0617,5175
CVE-2002-0621,5172
CVE-2002-0622,5170
CVE-2002-0623,5163
CVE-2002-0632,11081
CVE-2002-0638,5164
CVE-2002-0639,6245
CVE-2002-0640,839
CVE-2002-0650,878
CVE-2002-0663,4366
CVE-2002-0668,5144
CVE-2002-0676,5137
CVE-2002-0682,4973
CVE-2002-0683,6592
CVE-2002-0685,4364
CVE-2002-0687,5166
CVE-2002-0690,4375
CVE-2002-0700,4862
CVE-2002-0705,3489
CVE-2002-0706,3491
CVE-2002-0710,3568
CVE-2002-0714,5924
CVE-2002-0722,5129
CVE-2002-0727,3006
CVE-2002-0733,5125
CVE-2002-0737,5123
CVE-2002-0748,5119
CVE-2002-0755,4893
CVE-2002-0765,5113
CVE-2002-0766,5114
CVE-2002-0766,5715
CVE-2002-0770,11187
CVE-2002-0785,5109
CVE-2002-0788,4363
CVE-2002-0794,5081
CVE-2002-0795,5083
CVE-2002-0801,5082
CVE-2002-0804,6394
CVE-2002-0805,6395
CVE-2002-0806,5080
CVE-2002-0810,6399
CVE-2002-0813,854
CVE-2002-0823,2991
CVE-2002-0829,5073
CVE-2002-0830,5072
CVE-2002-0831,5069
CVE-2002-0840,862
CVE-2002-0858,9476
CVE-2002-0860,3007
CVE-2002-0914,5052
CVE-2002-0935,5051
CVE-2002-0945,5047
CVE-2002-0946,5048
CVE-2002-0967,5042
CVE-2002-0968,3780
CVE-2002-0974,3001
CVE-2002-0985,2111
CVE-2002-0986,2160
CVE-2002-0987,5044
CVE-2002-0989,5033
CVE-2002-1000,3782
CVE-2002-1025,5028
CVE-2002-1029,14478
CVE-2002-1035,5000
CVE-2002-1049,5002
CVE-2002-1053,4015
CVE-2002-1054,4995
CVE-2002-1059,4991
CVE-2002-1079,3285
CVE-2002-1081,3286
CVE-2002-1113,4858
CVE-2002-1117,8230
CVE-2002-1122,3150
CVE-2002-1135,3848
CVE-2002-1149,3356
CVE-2002-1151,7867
CVE-2002-1153,2092
CVE-2002-1154,3779
CVE-2002-1157,2107
CVE-2002-1166,9836
CVE-2002-1169,2090
CVE-2002-1186,7845
CVE-2002-1187,2998
CVE-2002-1191,6555
CVE-2002-1192,6098
CVE-2002-1242,6244
CVE-2002-1244,4996
CVE-2002-1264,4013
CVE-2002-1266,7057
CVE-2002-1267,7058
CVE-2002-1268,7059
CVE-2002-1270,7060
CVE-2002-1278,6066
CVE-2002-1307,7353
CVE-2002-1323,2183
CVE-2002-1323,3814
CVE-2002-1335,6981
CVE-2002-1420,7554
CVE-2002-1463,855
CVE-2002-1472,11922
CVE-2002-1476,7565
CVE-2002-1490,7566
CVE-2002-1491,7041
CVE-2002-1517,8579
CVE-2002-1518,8580
CVE-2002-1519,4924
CVE-2002-1520,4831
CVE-2002-1537,4284
CVE-2002-1540,6258
CVE-2002-1543,7570
CVE-2002-1547,4376
CVE-2002-1603,13295
CVE-2002-1634,17461
CVE-2002-1634,17462
CVE-2002-1634,17463
CVE-2002-1634,17464
CVE-2002-1634,17465
CVE-2002-1634,17466
CVE-2002-1634,17467
CVE-2002-1634,17468
CVE-2002-1699,21558
CVE-2002-1732,27095
CVE-2002-1732,27096
CVE-2002-1732,27097
CVE-2002-1732,27098
CVE-2002-1788,27086
CVE-2002-1825,21288
CVE-2002-2092,19475
CVE-2002-2133,4762
CVE-2002-2208,18055
CVE-2003-0001,9962
CVE-2003-0009,6074
CVE-2003-0013,6351
CVE-2003-0033,4418
CVE-2003-0038,9205
CVE-2003-0044,9203
CVE-2003-0044,9204
CVE-2003-0046,7686
CVE-2003-0060,4879
CVE-2003-0069,8347
CVE-2003-0077,4917
CVE-2003-0078,3945
CVE-2003-0079,4918
CVE-2003-0080,4400
CVE-2003-0087,7996
CVE-2003-0091,8713
CVE-2003-0095,6319
CVE-2003-0107,6599
CVE-2003-0168,10561
CVE-2003-0170,4878
CVE-2003-0172,2113
CVE-2003-0193,11193
CVE-2003-0240,4804
CVE-2003-0255,4947
CVE-2003-0286,56166
CVE-2003-0442,4758
CVE-2003-0446,3065
CVE-2003-0466,6602
CVE-2003-0471,2207
CVE-2003-0472,8585
CVE-2003-0473,8586
CVE-2003-0509,10098
CVE-2003-0509,10099
CVE-2003-0509,10100
CVE-2003-0572,8587
CVE-2003-0575,2337
CVE-2003-0609,8722
CVE-2003-0641,6578
CVE-2003-0683,2734
CVE-2003-0744,6452
CVE-2003-0783,7119
CVE-2003-0791,8390
CVE-2003-0797,8520
CVE-2003-0809,7887
CVE-2003-0815,7888
CVE-2003-0815,7889
CVE-2003-0825,3903
CVE-2003-0838,7872
CVE-2003-0899,2729
CVE-2003-0903,3457
CVE-2003-0962,2898
CVE-2003-0965,3305
CVE-2003-0969,3331
CVE-2003-0984,3317
CVE-2003-0985,3315
CVE-2003-0994,3428
CVE-2003-1022,3346
CVE-2003-1028,7890
CVE-2003-1056,2955
CVE-2003-1057,2924
CVE-2003-1058,2892
CVE-2003-1059,2839
CVE-2003-1090,16024
CVE-2003-1096,15209
CVE-2003-1120,4491
CVE-2003-1131,3228
CVE-2003-1136,2718
CVE-2003-1141,2774
CVE-2003-1144,2766
CVE-2003-1145,2767
CVE-2003-1148,2717
CVE-2003-1148,3586
CVE-2003-1149,2714
CVE-2003-1151,2732
CVE-2003-1152,2719
CVE-2003-1153,2700
CVE-2003-1154,2772
CVE-2003-1155,2786
CVE-2003-1157,2762
CVE-2003-1159,2764
CVE-2003-1160,2842
CVE-2003-1162,2770
CVE-2003-1163,2787
CVE-2003-1166,2780
CVE-2003-1167,2742
CVE-2003-1170,3290
CVE-2003-1172,2749
CVE-2003-1173,2723
CVE-2003-1174,2776
CVE-2003-1175,2790
CVE-2003-1176,2768
CVE-2003-1177,2688
CVE-2003-1178,2743
CVE-2003-1179,3291
CVE-2003-1179,28988
CVE-2003-1180,3291
CVE-2003-1181,3292
CVE-2003-1182,2754
CVE-2003-1183,2727
CVE-2003-1184,3077
CVE-2003-1184,4825
CVE-2003-1184,4826
CVE-2003-1184,4827
CVE-2003-1184,4828
CVE-2003-1184,4829
CVE-2003-1185,2758
CVE-2003-1185,4838
CVE-2003-1185,4840
CVE-2003-1185,4841
CVE-2003-1186,10101
CVE-2003-1188,2844
CVE-2003-1189,2724
CVE-2003-1190,2755
CVE-2003-1191,2753
CVE-2003-1192,2757
CVE-2003-1195,4606
CVE-2003-1196,2789
CVE-2003-1198,3306
CVE-2003-1199,4202
CVE-2003-1200,3255
CVE-2003-1201,17000
CVE-2003-1204,7495
CVE-2003-1204,7496
CVE-2003-1204,7497
CVE-2003-1204,7498
CVE-2003-1204,7499
CVE-2003-1204,7500
CVE-2003-1204,7501
CVE-2003-1204,7502
CVE-2003-1204,7503
CVE-2003-1204,7504
CVE-2003-1204,7505
CVE-2003-1205,2378
CVE-2003-1208,3837
CVE-2003-1208,3838
CVE-2003-1208,3839
CVE-2003-1208,3840
CVE-2003-1211,3281
CVE-2003-1212,4933
CVE-2003-1230,19785
CVE-2003-1260,2181
CVE-2003-1268,37036
CVE-2003-1268,37037
CVE-2003-1268,37038
CVE-2003-1285,5782
CVE-2003-1285,5783
CVE-2003-1285,5784
CVE-2003-1285,5785
CVE-2003-1285,5805
CVE-2003-1287,5781
CVE-2003-1288,7587
CVE-2003-1289,2406
CVE-2003-1290,3064
CVE-2003-1291,21585
CVE-2003-1297,23794
CVE-2003-1297,23795
CVE-2003-1298,23984
CVE-2003-1299,24538
CVE-2003-1300,24539
CVE-2003-1305,2291
CVE-2003-1306,29370
CVE-2003-1309,2375
CVE-2003-1309,4362
CVE-2003-1310,4362
CVE-2003-1311,30741
CVE-2003-1312,30741
CVE-2003-1315,2943
CVE-2003-1316,3666
CVE-2003-1317,2480
CVE-2003-1327,2594
CVE-2003-1329,34670
CVE-2003-1336,2665
CVE-2003-1341,6181
CVE-2003-1342,6185
CVE-2003-1372,3931
CVE-2003-1385,3357
CVE-2003-1402,3777
CVE-2003-1403,5091
CVE-2003-1404,5092
CVE-2003-1405,5089
CVE-2003-1405,5090
CVE-2003-1410,5487
CVE-2003-1411,5900
CVE-2003-1441,3522
CVE-2003-1529,4927
CVE-2003-1530,4277
CVE-2003-1536,7021
CVE-2003-1536,7022
CVE-2003-1566,4864
CVE-2003-1567,5648
CVE-2003-1571,2492
CVE-2004-0004,3615
CVE-2004-0005,3736
CVE-2004-0006,3731
CVE-2004-0006,3732
CVE-2004-0007,3733
CVE-2004-0008,3734
CVE-2004-0009,3877
CVE-2004-0013,3345
CVE-2004-0016,6860
CVE-2004-0029,3424
CVE-2004-0030,3343
CVE-2004-0031,3403
CVE-2004-0032,3402
CVE-2004-0033,3404
CVE-2004-0034,3434
CVE-2004-0034,3506
CVE-2004-0034,3510
CVE-2004-0035,3508
CVE-2004-0036,3344
CVE-2004-0037,3442
CVE-2004-0040,3821
CVE-2004-0040,4432
CVE-2004-0041,3454
CVE-2004-0043,3437
CVE-2004-0044,3430
CVE-2004-0046,3440
CVE-2004-0047,3747
CVE-2004-0058,3496
CVE-2004-0063,3537
CVE-2004-0064,3460
CVE-2004-0066,3464
CVE-2004-0067,3473
CVE-2004-0067,3474
CVE-2004-0067,3475
CVE-2004-0067,3476
CVE-2004-0067,3477
CVE-2004-0067,3478
CVE-2004-0067,3479
CVE-2004-0070,6878
CVE-2004-0072,3433
CVE-2004-0073,3318
CVE-2004-0073,3408
CVE-2004-0077,3986
CVE-2004-0078,3918
CVE-2004-0080,3796
CVE-2004-0082,3919
CVE-2004-0087,6819
CVE-2004-0088,6820
CVE-2004-0089,6821
CVE-2004-0095,3744
CVE-2004-0099,3790
CVE-2004-0107,6884
CVE-2004-0113,4182
CVE-2004-0114,3836
CVE-2004-0115,3893
CVE-2004-0126,4101
CVE-2004-0127,3768
CVE-2004-0128,3769
CVE-2004-0129,3800
CVE-2004-0130,6886
CVE-2004-0131,3824
CVE-2004-0135,7122
CVE-2004-0136,7123
CVE-2004-0137,7124
CVE-2004-0150,4172
CVE-2004-0156,5360
CVE-2004-0156,5361
CVE-2004-0157,5358
CVE-2004-0159,4029
CVE-2004-0165,6822
CVE-2004-0167,6824
CVE-2004-0169,6826
CVE-2004-0169,6837
CVE-2004-0171,4124
CVE-2004-0175,9550
CVE-2004-0176,6893
CVE-2004-0179,5365
CVE-2004-0186,3916
CVE-2004-0189,5916
CVE-2004-0190,4117
CVE-2004-0191,4062
CVE-2004-0193,4072
CVE-2004-0194,4135
CVE-2004-0202,6742
CVE-2004-0204,6748
CVE-2004-0205,7799
CVE-2004-0214,5687
CVE-2004-0230,4030
CVE-2004-0234,5753
CVE-2004-0234,5754
CVE-2004-0236,6727
CVE-2004-0237,10859
CVE-2004-0256,3795
CVE-2004-0257,3825
CVE-2004-0261,3872
CVE-2004-0263,3878
CVE-2004-0267,4735
CVE-2004-0267,4855
CVE-2004-0267,4856
CVE-2004-0270,3894
CVE-2004-0274,3928
CVE-2004-0276,3921
CVE-2004-0282,6621
CVE-2004-0285,6721
CVE-2004-0297,3984
CVE-2004-0300,3973
CVE-2004-0307,4009
CVE-2004-0308,4010
CVE-2004-0309,3991
CVE-2004-0320,4055
CVE-2004-0333,4119
CVE-2004-0334,4809
CVE-2004-0341,4115
CVE-2004-0342,4116
CVE-2004-0359,4154
CVE-2004-0362,4355
CVE-2004-0385,4249
CVE-2004-0387,4977
CVE-2004-0388,6421
CVE-2004-0396,6305
CVE-2004-0397,6301
CVE-2004-0398,6302
CVE-2004-0401,15126
CVE-2004-0403,5491
CVE-2004-0407,5402
CVE-2004-0411,6107
CVE-2004-0444,6099
CVE-2004-0444,6101
